number,trade_name,address,council,date_of_offence,offence_code,nature,penalty,party_served,date_served,issuer
3108515255,SUSHI YAH,90 YARRARA ROAD PENNANT HILLS 2120,Hornsby,21-09-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to process only safe and suitable food - previous warning given,$880 ,YOUJIN PTY LTD,26-09-16,Hornsby Shire Council
3043873746,SUSHIME KOGARAH,"KIOSK OIA, KOGARAH TOWN CENTRE, 1 RAILWAY PARADE KOGARAH 2217",Kogarah,06-04-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to display potentially hazardous food under temperature control - previous warnings given,$880 ,SUSHIME CHATSWOOD PTY LTD,08-04-16,Kogarah City Council
3013509373,SUWAHRE RICE CAKE,9 BRODIE STREET RYDALMERE 2116,Parramatta,24-03-16,11343 - Sell food packaged/labelled contravening Food Standards Code - Corporation,Sale of food past its use-by date - Honey rice ball cake,$880 ,KOREANA INTERNATIONAL PTY LTD,10-06-16,NSW Food Authority
3013509382,SUWAHRE RICE CAKE,9 BRODIE STREET RYDALMERE 2116,City of Parramatta,24-03-16,11343 - Sell food packaged/labelled contravening Food Standards Code - Corporation,Sale of food past its use-by date - previous warning given,$880 ,KOREANA INTERNATIONAL PTY LTD,10-06-16,NSW Food Authority
3013509391,SUWAHRE RICE CAKE,9 BRODIE STREET RYDALMERE 2116,Parramatta,14-03-16,11343 - Sell food packaged/labelled contravening Food Standards Code - Corporation,Sale of food past its use-by date - previous warning given,$880 ,KOREANA INTERNATIONAL PTY LTD,10-06-16,NSW Food Authority
3013509400,SUWAHRE RICE CAKE,9 BRODIE STREET RYDALMERE 2116,Parramatta,14-03-16,11343 - Sell food packaged/labelled contravening Food Standards Code - Corporation,Fail to ensure food for retail sale complies with the labelling requirements of the Food Standards Code - Sell packaged food with no storage directions,$880 ,KOREANA INTERNATIONAL PTY LTD,10-06-16,NSW Food Authority
3013509410,SUWAHRE RICE CAKE,9 BRODIE STREET RYDALMERE 2116,Parramatta,14-03-16,11343 - Sell food packaged/labelled contravening Food Standards Code - Corporation,"Sale of food labelled in contravention to Food Standards Code - incorrect supplier address on label, previous warning given",$880 ,KOREANA INTERNATIONAL PTY LTD,10-06-16,NSW Food Authority
3013509429,SUWAHRE RICE CAKE,9 BRODIE STREET RYDALMERE 2116,Parramatta,14-03-16,11343 - Sell food packaged/labelled contravening Food Standards Code - Corporation,Sale of food labelled in contravention to Food Standards Code - sell packaged food with title not in English,$880 ,KOREANA INTERNATIONAL PTY LTD,10-06-16,NSW Food Authority
3013509438,SUWAHRE RICE CAKE,9 BRODIE STREET RYDALMERE 2116,Parramatta,14-03-16,11343 - Sell food packaged/labelled contravening Food Standards Code - Corporation,Fail to ensure food for retail sale complies with the labelling requirements of the Food Standards Code - nutrition information panel of 'Thin long rice cake' not set out in correct format,$880 ,KOREANA INTERNATIONAL PTY LTD,10-06-16,NSW Food Authority
3107291110,SYDNEY BEST TASTES,SUITE 3/8-10 BRODIE SPARK DRIVE WOLLI CREEK 2205,Bayside,15-09-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination,$880 ,SHERRY AND STEVEN AUSTRALIA PTY LTD,21-09-16,Rockdale City Council
