number,trade_name,address,council,date_of_offence,offence_code,nature,penalty,party_served,date_served,issuer
3136844078,(NO TRADING NAME),CENTENNIAL AVENUE CHATSWOOD 2067,Willoughby,10-08-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to transport potentially hazardous food under temperature control,$440 ,"CHOI, JUNG DAE",11-08-16,Willoughby City Council
3120777249,(NO TRADING NAME),2 RIVERSIDE DRIVE NAROOMA 2546,Eurobodalla,05-01-16,11016 - Contravene condition of licence - Individual,Fail to comply with a condition of licence - harvest oysters during closure,$660 ,"DON MANUWELLGE DON, ANOMA",19-07-16,NSW Food Authority
3013503947,(NO TRADING NAME),33 MARY PARADE RYDALMERE 2116,Parramatta,19-01-16,11318 - Sell unsafe food - Individual,Sale of unsafe food - sushi,$770 ,"PARK, JI YOUNG",19-05-16,NSW Food Authority
3132275255,3 CHIMNEYS,3/63-65 CROWN STREET WOLLONGONG 2500,Wollongong,20-05-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,$880 ,DRB 56 PTY LTD,23-05-16,Wollongong City Council
3132275264,3 CHIMNEYS,3/63-65 CROWN STREET WOLLONGONG 2500,Wollongong,20-05-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",$880 ,DRB 56 PTY LTD,23-05-16,Wollongong City Council
3132275273,3 CHIMNEYS,3/63-65 CROWN STREET WOLLONGONG 2500,Wollongong,20-05-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition - previous warnings given,$880 ,DRB 56 PTY LTD,23-05-16,Wollongong City Council
3124716376,3 MANGOES THAI,95 ENMORE ROAD ENMORE 2042,Marrickville,05-05-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness,$880 ,3 MANGOES PTY LTD,10-05-16,Marrickville Municipal Council
3120776203,333 FOOD COMPANY,"UNIT 4, 33-35 SCRIVENER STREET WARWICK FARM 2170",Liverpool,23-02-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,$440 ,"THAI, LONG VINH",21-04-16,NSW Food Authority
3120776212,333 FOOD COMPANY,"UNIT 4, 33-35 SCRIVENER STREET WARWICK FARM 2170",Liverpool,23-02-16,11338 - Fail to comply with Food Standards Code - Individual,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",$440 ,"THAI, LONG VINH",21-04-16,NSW Food Authority
3120776221,333 FOOD COMPANY,"UNIT 4, 33-35 SCRIVENER STREET WARWICK FARM 2170",Liverpool,23-02-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition - previous warnings given,$440 ,"THAI, LONG VINH",21-04-16,NSW Food Authority
3120776230,333 FOOD COMPANY,"UNIT 4, 33-35 SCRIVENER STREET WARWICK FARM 2170",Liverpool,23-02-16,11340 - Sell food that fails to comply with the Food Standards Code - Individual,"Sale of food found to contain preservative (sorbic acid) that exceeds permitted level - fresh noodles, previous warnings given",$440 ,"THAI, LONG VINH",21-04-16,NSW Food Authority
3120776240,333 FOOD COMPANY,"UNIT 4, 33-35 SCRIVENER STREET WARWICK FARM 2170",Liverpool,23-02-16,11338 - Fail to comply with Food Standards Code - Individual,"Fail to take all practicable measures to eradicate and prevent the harbourage of pests - presence of pests, previous warnings given",$440 ,"THAI, LONG VINH",21-04-16,NSW Food Authority
3120776259,333 FOOD COMPANY,"UNIT 4, 33-35 SCRIVENER STREET WARWICK FARM 2170",Liverpool,23-02-16,11342 - Sell food packaged/labelled contravening Food Standards Code - Individual,Sale of food labelled in contravention to Food Standards Code - previous warnings given,$440 ,"THAI, LONG VINH",21-04-16,NSW Food Authority
3107542049,7 ELEVEN,354 FLUSHCOMBE ROAD BLACKTOWN 2148,Blacktown,12-07-16,11323 - Sell food that is unsuitable - Corporation,Sale of food past its use-by date - previous warning given,"$1,320 ",AMRITSARIA FOUR PTY LTD,18-07-16,Blacktown City Council
3108165024,7 ELEVEN,291 BOOTY HILL ROAD NORTH PLUMPTON 2761,Blacktown,07-10-16,11323 - Sell food that is unsuitable - Corporation,Sale of food past its use-by date - previous warning given,"$1,320 ",SNAP TRADING PTY LTD,11-10-16,Blacktown City Council
3108165180,7 ELEVEN,55 GARFIELD ROAD RIVERSTONE 2765,Blacktown,02-11-16,11322 - Sell food that is unsuitable - Individual,Sale of food past its use-by date - previous warning given,$660 ,"BUTT, FATEHULLAH",07-11-16,Blacktown City Council
3107542460,786 GOURMET,8 CENTRAL PLACE ROPES CROSSING 2760,Blacktown,20-09-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",$880 ,SHAFI AUS PTY LTD,28-09-16,Blacktown City Council
3107542470,786 GOURMET,8 CENTRAL PLACE ROPES CROSSING 2760,Blacktown,20-09-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to display potentially hazardous food under temperature control - previous warning given,$880 ,SHAFI AUS PTY LTD,28-09-16,Blacktown City Council
3108160963,786 GOURMET,"SHOP 5,  8 CENTRAL PLACE ROPES CROSSING 2760",Blacktown,30-06-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to display potentially hazardous food under temperature control - previous warning given,$880 ,SHAFI AUS PTY LTD,01-07-16,Blacktown City Council
3120775828,85 DEGREES COFFEE,45 HUTCHINSON STREET ST PETERS 2044,Marrickville,08-03-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain premises, fixtures, fittings, and equipment in a good state of repair and working order having regard to their use - previous warnings given",$880 ,85 DEGREES COFFEE AUSTRALIA PTY LTD,09-05-16,NSW Food Authority
3120775837,85 DEGREES COFFEE,45 HUTCHINSON STREET ST PETERS 2044,Marrickville,08-03-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,$880 ,85 DEGREES COFFEE AUSTRALIA PTY LTD,09-05-16,NSW Food Authority
3120775846,85 DEGREES COFFEE,45 HUTCHINSON STREET ST PETERS 2044,Marrickville,08-03-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",$880 ,85 DEGREES COFFEE AUSTRALIA PTY LTD,09-05-16,NSW Food Authority
3120775855,85 DEGREES COFFEE,85 HUTCHINSON STREET ST PETERS 2044,Marrickville,08-03-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain easily accessible hand washing facilities on the food premises - obstruction to hand wash basin, previous warnings given",$880 ,85 DEGREES COFFEE AUSTRALIA PTY LTD,09-05-16,NSW Food Authority
3043873773,AAGANMANN RESTAURANT,304 RAILWAY PARADE CARLTON 2218,Georges River,25-08-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain at or near each hand washing facility a supply of - soap,$880 ,TWO WHEELS SERVICES PTY LTD,30-08-16,Kogarah City Council
3142268315,AATY SUPERMARKET,49 MOORE STREET LIVERPOOL 2170,Liverpool,15-08-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to store food in such a way that it is protected from the likelihood of contamination,$440 ,"AATY, AZHAR",19-08-16,Liverpool City Council
3142268324,AATY SUPERMARKET,49 MOORE STREET LIVERPOOL 2170,Liverpool,15-08-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain the food premises to the required standard of cleanliness,$440 ,"AATY, AZHAR",19-08-16,Liverpool City Council
3142268333,AATY SUPERMARKET,49 MOORE STREET LIVERPOOL 2170,Liverpool,15-08-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain at or near each hand washing facility a supply of - single use towel,$440 ,"AATY, AZHAR",19-08-16,Liverpool City Council
3142268342,AATY SUPERMARKET,49 MOORE STREET LIVERPOOL 2170,Liverpool,29-08-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to store food in such a way that it is protected from the likelihood of contamination,$440 ,"AATY, AZHAR",08-09-16,Liverpool City Council
3142268351,AATY SUPERMARKET,49 MOORE STREET LIVERPOOL 2170,Liverpool,29-08-16,11338 - Fail to comply with Food Standards Code - Individual,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warning given",$440 ,"AATY, AZHAR",08-09-16,Liverpool City Council
7250542200,ABDULS LEBANESE RESTAURANT,563 ELIZABETH STREET SURRY HILLS 2010,Sydney,12-04-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warning given",$880 ,RIFI & CO PTY LTD,14-04-16,City of Sydney Council
7250542247,ABDULS LEBANESE RESTAURANT,536 ELIZABETH STREET SURRY HILLS 2010,Sydney,12-04-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",$880 ,RIFI & CO PTY LTD,15-04-16,City of Sydney Council
7250542256,ABDULS LEBANESE RESTAURANT,563 ELIZABETH STREET SURRY HILLS 2010,Sydney,12-04-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to display potentially hazardous food under temperature control - previous warnings given,$880 ,RIFI & CO PTY LTD,15-04-16,City of Sydney Council
3107542195,ABELLA BAKERY,"SHOP 163, 49 NORTH PARADE MOUNT DRUITT 2270",Blacktown,22-08-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain the food premises to the required standard of cleanliness - previous warning given,$440 ,"HENG, MICHEL",24-08-16,Blacktown City Council
3107542213,ABELLA BAKERY,"SHOP 163, 49 NORTH PARADE MOUNT DRUITT 2770",Blacktown,22-08-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain easily accessible hand washing facilities on the food premises - previous warning given,$440 ,"HENG, MICHEL",24-08-16,Blacktown City Council
3013503929,ABLA'S PASTRIES,U21/10 STRAITS AVENUE SOUTH GRANVILLE 2142,Parramatta,28-01-16,11319 - Sell unsafe food - Corporation,Sale of unsafe food,"$1,540 ",ABLA'S PASTRIES PTY LTD,18-05-16,NSW Food Authority
3013503910,ABLA'S PASTRIES PTY LTD,48 RAILWAY PARADE GRANVILLE 2142,Parramatta,22-01-16,11319 - Sell unsafe food - Corporation,Sale of food that is unsafe,"$1,540 ",ABLA'S PASTRIES PTY LTD,18-05-16,NSW Food Authority
3013503938,ABLA'S PASTRIES PTY LTD,U21/10 STRAITS AVENUE SOUTH GRANVILLE 2142,Parramatta,28-01-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition,$880 ,ABLA'S PASTRIES PTY LTD,18-05-16,NSW Food Authority
3120775718,AC BUTCHERY,174 MARION STREET LEICHHARDT 2040,Leichhardt,07-04-16,11373 - Not comply with requirements of food safety scheme - Corporation,"Fail to comply with the requirements of a food safety scheme - Fail to maintain the facility in a clean condition, previous warning given","$1,320 ",AC BUTCHERY PTY LTD,12-04-16,NSW Food Authority
3120775727,AC BUTCHERY,174 MARION STREET LEICHHARDT 2040,Leichhardt,07-04-16,11373 - Not comply with requirements of food safety scheme - Corporation,"Fail to comply with the requirements of a food safety scheme - Fail to maintain the facility in an acceptable condition, previous warnings given","$1,320 ",AC BUTCHERY PTY LTD,12-04-16,NSW Food Authority
3120775736,AC BUTCHERY,174 MARION STREET LEICHHARDT 2040,Leichhardt,07-04-16,11373 - Not comply with requirements of food safety scheme - Corporation,"Fail to comply with the requirements of a food safety scheme - fail to implement corrective actions to rectify defects, previous warnings given","$1,320 ",AC BUTCHERY PTY LTD,12-04-16,NSW Food Authority
3108165161,ADDCHAYAS SPICES,26 SACKVILLE STREET BLACKTOWN 2148,Blacktown,28-10-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition,$440 ,"SUGANTHAN, SUBRAMANIAM",03-11-16,Blacktown City Council
3108165170,ADDCHAYAS SPICES,26 SACKVILLE STREET BLACKTOWN 2148,Blacktown,28-10-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition,$440 ,"SUGANTHAN, BHAVANI",03-11-16,Blacktown City Council
3134630510,ADDIL INDIAN AND KEBAB RESTAURANT,22 STURGEON STREET RAYMOND TERRACE 2324,Port Stephens,01-08-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to take all practicable measures to eradicate and prevent the harbourage of pests - presence of pests, previous warnings given",$880 ,ADDIL PTY LIMITED,10-08-16,Port Stephens Council
3134630813,ADDIL INDIAN AND KEBAB RESTAURANT RAYMOND TERRACE,22 STURGEON STREET RAYMOND TERRACE 2324,Port Stephens,02-11-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to prevent pests entering the food premises - previous warnings given,$880 ,ADDIL PTY LTD,03-11-16,Port Stephens Council
3124716880,ADDISON CHINESE TAKEAWAY FOOD,124 ADDISON ROAD MARRICKVILLE 2204,Inner West,23-11-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to store potentially hazardous food under temperature control,$440 ,"SUN, CAO",28-11-16,Marrickville Municipal Council
3108246790,AGHA JUICE,3/196-200 MERRYLANDS ROAD MERRYLANDS 2160,Cumberland,22-06-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to, when processing food, take all necessary steps to prevent the likelihood of food being contaminated",$880 ,AGHA JUICE PTY LTD,--,Holroyd City Council
3108127597,AKIRA SUSHI,122 STATION STREET PENRITH 2750,Penrith,27-05-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain easily accessible hand washing facilities on the food premises - previous warnings given,$880 ,AKIRA FRANCHISE PTY LTD,02-06-16,Penrith City Council
3072000791,AL AWAFI,7 BREUST PLACE PUNCHBOWL 2196,Bankstown,09-05-16,11338 - Fail to comply with Food Standards Code - Individual,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",$440 ,"AZZI, SIMON",09-05-16,Bankstown City Council
3072000800,AL AWAFI,7 BREUST PLACE PUNCHBOWL 2196,Bankstown,09-05-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to take all practicable measures to eradicate and prevent the harbourage of pests,$440 ,"AZZI, SIMON",09-05-16,Bankstown City Council
3120777211,ALBION PARK POULTRY,116 PRINCES HIGHWAY ALBION PARK 2527,Shellharbour,11-04-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,$440 ,"STONE, SHAUN",19-07-16,NSW Food Authority
3120777220,ALBION PARK POULTRY,116 PRINCES HIGHWAY ALBION PARK 2527,Shellharbour,11-04-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain premises in a good state of repair and working order having regard to their use - previous warnings given,$440 ,"STONE, SHAUN",19-07-16,NSW Food Authority
3120777230,ALBION PARK POULTRY,116 PRINCES HIGHWAY ALBION PARK 2527,Shellharbour,11-04-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain equipment in a good state of repair and working order having regard to their use - previous warnings given,$440 ,"STONE, SHAUN",19-07-16,NSW Food Authority
3107291157,ALEXANDER BAKERY,494 PRINCES HIGHWAY ROCKDALE 2216,Bayside,23-09-16,11338 - Fail to comply with Food Standards Code - Individual,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",$440 ,"UROSEVSKI, FRANCES",27-09-16,Rockdale City Council
3107291340,ALEXANDER'S BAKERY (FOOD STALL),33 FLORENCE STREET RAMSGATE BEACH 2217,Bayside,26-11-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to store potentially hazardous food under temperature control,$440 ,"UROSEVKSI, TOMISLAN",28-11-16,Rockdale City Council
3107291359,ALEXANDER'S BAKERY (FOOD STALL),33 FLORENCE STREET RAMSGATE BEACH 2217,Bayside,26-11-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to store potentially hazardous food under temperature control,$440 ,"UROSEVSKI, FRANCES",28-11-16,Rockdale City Council
7250541138,ALEXANDRIA/ERSKINEVILLE BOWLING CLUB BISTRO,1 FOX AVENUE ERSKINEVILLE 2043,Sydney,27-07-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain the food premises to the required standard of cleanliness,$440 ,"CHENG, KIM PIU",08-08-16,City of Sydney Council
7250541147,ALEXANDRIA/ERSKINEVILLE BOWLING CLUB BISTRO,1 FOX AVENUE ERSKINEVILLE 2043,Sydney,27-07-16,11338 - Fail to comply with Food Standards Code - Individual,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",$440 ,"CHENG, KIM PIU",08-08-16,City of Sydney Council
7250541156,ALEXANDRIA/ERSKINEVILLE BOWLING CLUB BISTRO,1 FOX AVENUE ERSKINEVILLE 2043,Sydney,27-07-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to store food in such a way that it is protected from the likelihood of contamination,$440 ,"CHENG, KIM PIU",08-08-16,City of Sydney Council
3142268196,ALI BABA,"SHOP 4, 271-273 NEWBRIDGE ROAD CHIPPING NORTON 2170",Liverpool,07-06-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain at or near each hand washing facility a supply of - single use towel,$880 ,TRAINING AS ALI BABA PTY LTD,15-06-16,Liverpool City Council
3142268205,ALI BABA,"SHOP 4, 271-273 NEWBRIDGE ROAD CHIPPING NORTON 2170",Liverpool,07-06-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain at or near each hand washing facility a supply of - soap,$880 ,TRAINING AS ALI BABA PTY LTD,15-06-16,Liverpool City Council
3145379079,ALLAN'S TAKEAWAY,10 BENAUD PLACE TELOPEA 2117,Parramatta,13-07-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,$880 ,ALLAN'S TAKEAWAY PTY LTD,15-08-16,City of Parramatta
3145379088,ALLAN'S TAKEAWAY,10 BENAUD PLACE TELOPEA 2117,Parramatta,13-07-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition - previous warnings given,$880 ,ALLAN'S TAKEAWAY PTY LTD,15-08-16,City of Parramatta
3108289829,ALROSE GARDEN,"SHOP 2,  7-9 CHURCHILL AVENUE STRATHFIELD 2135",Strathfield,03-05-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to store food in such a way that it is protected from the likelihood of contamination,$440 ,"RA, JENNIFER JAE SUK",13-05-16,Strathfield Municipal Council
3108289838,ALROSE GARDEN,"SHOP 2, 7-9 CHURCHILL AVENUE STRATHFIELD 2135",Strathfield,03-05-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain the food premises to the required standard of cleanliness,$440 ,"RA, JENNIFER JAE SUK",13-05-16,Strathfield Municipal Council
3108289847,ALROSE GARDEN,"SHOP2, 7-9 CHURCHILL AVENUE STRATHFIELD 2135",Strathfield,03-05-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to have an adequate supply of water - no hot water supply,$440 ,"RA, JENNIFER JAE SUK",13-05-16,Strathfield Municipal Council
3122640905,AMALFI PIZZERIA AND RESTAURANT,42 MOONEE STREET COFFS HARBOUR 2450,Coffs Harbour,02-06-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain easily accessible hand washing facilities on the food premises,$440 ,LUCA LIONETTI,16-06-16,Coffs Harbour City Council
3081819438,AMIGO FRENCH BAKERY,10/166 ARGYLE STREET CAMDEN 2570,Camden,23-05-16,11338 - Fail to comply with Food Standards Code - Individual,"Fail to maintain the food premises and all fixtures, fittings and equipment to the required standard of cleanliness",$440 ,"HUA, SAI",08-06-16,Camden Council
3081819447,AMIGO FRENCH BAKERY,10/166 ARGYLE STREET CAMDEN 2570,Camden,23-05-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to store potentially hazardous food under temperature control,$440 ,"HUA, SAI",08-06-16,Camden Council
3013509456,AN PHAT CAKE SHOP,1/182 CABRAMATTA ROAD CABRAMATTA 2166,Fairfield,18-10-16,11342 - Sell food packaged/labelled contravening Food Standards Code - Individual,Sale of food labelled in contravention to Food Standards Code - previous warning given,$440 ,"TRANG, HUY",14-11-16,NSW Food Authority
3120776497,AN PHAT CAKE SHOP,1/182 CABRAMATTA STREET CABRAMATTA 2166,Fairfield,18-10-16,11342 - Sell food packaged/labelled contravening Food Standards Code - Individual,Sale of food labelled in contravention to Food Standards Code - wheat/gluten not declared on labels - previous warning given,$440 ,"TRANG, HUU",14-11-16,NSW Food Authority
3131612707,AN TIEM CA FISH MARKET,SHOP 10/105-107 JOHN STREET CABRAMATTA 2166,Fairfield,21-07-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to, when displaying food, take all practicable measures to protect the food from the likelihood of contamination - previous warning given",$880 ,AN FISH MARKET PTY LTD,28-07-16,Fairfield City Council
3049388641,ANDY'S FOREST CAFE,"SHOP 6, 438 FOREST ROAD HURSTVILLE 2220",Georges River,01-06-16,73085 - Not appoint food safety supervisor for premises - Individual,Fail to ensure that at least one food safety supervisor has been appointed for the premises - previous warning given,$330 ,"ANGELOPOULOS, JOHN",02-06-16,Hurstville City Council
3107278498,ANDY'S SEAFOOD,158 BESTIC STREET KYEEMAGH 2216,Rockdale,05-04-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to take all practicable measures to eradicate and prevent the harbourage of pests - presence of pests,$440 ,"WU, DONG MEI",11-04-16,Rockdale City Council
3107291000,ANDY'S SEAFOOD,158 BESTIC STREET KYEEMAGH 2216,Rockdale,05-04-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain the food premises to the required standard of cleanliness,$440 ,"WU, DONG MEI",11-04-16,Rockdale City Council
3139659820,ANGELO'S PORTUGALIA,2B SHOP 28/262 ANZAC PARADE KENSINGTON 2033,Randwick,24-02-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,$880 ,ANGELO'S PORTUGALIA KENSINGTON PTY LTD,26-02-16,Randwick City Council
3072008280,ANH SANG,55 BANKSTOWN CITY PLAZA BANKSTOWN 2200,Bankstown,29-01-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to display potentially hazardous food under temperature control - previous warnings given,$440 ,"TRAN, TO HOA",02-02-16,Bankstown City Council
3145379252,ANJAPPAR CHETTINAD INDIAN RESTAURANT,"SHOP 1, 104-108 CHURCH STREET PARRAMATTA 2150",Parramatta,30-11-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination,$880 ,CHETTINAAD CUISINE PTY LTD,13-12-16,City of Parramatta
3145379261,ANJAPPAR CHETTINAD INDIAN RESTAURANT,"SHOP 1, 104-108 CHURCH STREET PARRAMATTA 2150",Parramatta,30-11-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain at or near each hand washing facility a supply of - single use towels,$880 ,CHETTINAAD CUISINE PTY LTD,13-12-16,City of Parramatta
3145379270,ANJAPPAR CHETTINAD INDIAN RESTAURANT,"SHOP 1, 104-108 CHURCH STREET PARRAMATTA 2150",Parramatta,30-11-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain premises, fixtures, fittings, and equipment in a good state of repair and working order having regard to their use",$880 ,CHETTINAAD CUISINE PTY LTD,13-12-16,City of Parramatta
3145379280,ANJAPPAR CHETTINAD INDIAN RESTAURANT,"SHOP 1, 104-108 CHURCH STREET PARRAMATTA 2150",Parramatta,30-11-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness,$880 ,CHETTINAAD CUISINE PTY LTD,13-12-16,City of Parramatta
3134630905,ANNA BAY HOT BREAD,118 GAN GAN ROAD ANNA BAY 2316,Port Stephens,14-11-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to take all practicable measures to eradicate and prevent the harbourage of pests - previous warnings given,$440 ,"LE, TUYEN VAN",29-11-16,Port Stephens Council
3013503846,APOLLO SEAFOODS PENRITH,"SHOP 15, 585 HIGH STREET PENRITH 2750",Penrith,23-12-15,11339 - Fail to comply with Food Standards Code - Corporation,Fail to store potentially hazardous food under temperature control,$880 ,APOLLO SEAFOODS PENRITH PTY LTD,03-02-16,NSW Food Authority
3013503855,APOLLO SEAFOODS PENRITH,"SHOP 15, 585 HIGH STREET PENRITH 2750",Penrith,23-12-15,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to, when processing food, take all necessary steps to prevent the likelihood of food being contaminated",$880 ,APOLLO SEAFOODS PENRITH PTY LTD,03-02-16,NSW Food Authority
3013503864,APOLLO SEAFOODS PENRITH,"SHOP 15, 585 HIGH STREET PENRITH 2750",Penrith,23-12-15,11339 - Fail to comply with Food Standards Code - Corporation,Fail to ensure the design and construction of the food premises is appropriate for the activities for which the premises are used,$880 ,APOLLO SEAFOODS PENRITH PTY LTD,03-02-16,NSW Food Authority
3013503873,APOLLO SEAFOODS PENRITH,"SHOP 15, 585 HIGH STREET PENRITH 2750",Penrith,23-12-15,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain easily accessible hand washing facilities on the food premises,$880 ,APOLLO SEAFOODS PENRITH PTY LTD,03-02-16,NSW Food Authority
3120639464,AQUA NOODLE HOUSE,"SHOP 15, 256-278 CHAPEL ROAD SOUTH BANKSTOWN 2200",Canterbury-Bankstown,17-11-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to take all practicable measures to eradicate and prevent the harbourage of pests,$440 ,"LUONG, CHAN HOA",23-11-16,Canterbury-Bankstown Council
3120639491,AQUA NOODLE HOUSE,"SHOP 15, 256-278 CHAPEL ROAD SOUTH BANKSTOWN 2200",Canterbury-Bankstown,17-11-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain the food premises to the required standard of cleanliness,$440 ,"LUONG, CHAN HOA",23-11-16,Canterbury-Bankstown Council
3120639473,AQUA NOODLE HOUSE,"SHOP 15, 256-278 CHAPEL ROAD SOUTH BANKSTOWN 2200",Canterbury-Bankstown,17-11-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to take all practicable measures to eradicate and prevent the harbourage of pests,$440 ,"NGUYEN, DINH KHOA",23-11-16,Canterbury-Bankstown Council
3120639482,AQUA NOODLE HOUSE,"SHOP 15, 256-278 CHAPEL ROAD SOUTH BANKSTOWN 2200",Canterbury-Bankstown,17-11-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain the food premises to the required standard of cleanliness,$440 ,"NGUYEN, DINH KHOA",23-11-16,Canterbury-Bankstown Council
3134776242,ARCADIA ESPRESSO CAFE,26 PACIFIC HIGHWAY ST LEONARDS 2066,Lane Cove,11-08-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain the food premises to the required standard of cleanliness,$440 ,"YU, JING ZHOU",15-08-16,Lane Cove Municipal Council
3161223313,ARITIS CATERING,UNIT 6  96-98 JEDDA ROAD PRESTONS 2170,Liverpool,18-10-16,11319 - Sell unsafe food - Corporation,Sale of unsafe food - Ill food handler was permitted to handle food,"$1,540 ",J & G PAINTERS & DECORATORS PTY LTD,14-02-17,NSW Food Authority
3154149855,AROMA'S AT JESMOND,"SHOP 41, 30 BLUE GUM ROAD JESMOND 2299",Newcastle,25-07-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain the food premises to the required standard of cleanliness,$440 ,FRANK JOHN GILLIES,28-09-16,Newcastle City Council
3120333040,ARTISAN CAFE,3 ARTISAN ROAD SEVEN HILLS 2147,Blacktown,13-12-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to have easily accessible hand washing facilities on the food premises,$440 ,"OU, SHAO WEI",14-12-16,Blacktown City Council
